Species	Accession	FTP
Escherichia coli O157:H7 strain Rafaela_II 	CP076230.1	None
Escherichia coli O157:H7 strain Balcarce_14.2 	CP076243.1	None
Escherichia coli O157:H7 strain Vac_07.1 	CP076241.1	None
Escherichia coli O157:H7 strain 146N4 	CP076237.1	None
Escherichia coli O157:H7 strain 9.1_Anguil 	CP076235.1	None
Escherichia coli O157:H7 strain Balcarce_24.2 	CP076245.1	None
Escherichia coli strain Origami2-DE3 	CP084529.1	None
Escherichia coli strain EC-YC1908-399 	CP084534.1	None
Escherichia coli strain SCAID WND2-2021 (3/145) 	NZ_CP082827.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/915/545/GCA_019915545.1_ASM1991554v1
Escherichia coli strain SCAID URN1-2021 (19/278) 	NZ_CP082824.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/915/505/GCA_019915505.1_ASM1991550v1
Escherichia coli strain SCAID WND1-2021 (1/128) 	NZ_CP082831.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/915/525/GCA_019915525.1_ASM1991552v1
Escherichia coli O170:H18 strain CFIAFB20120266 isolate OLC-1056 	NZ_CP076706.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/986/815/GCA_018986815.1_ASM1898681v1
Escherichia coli O158:H23 strain CFIAFB20140388 isolate OLC-1685 	NZ_CP076709.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/986/795/GCA_018986795.1_ASM1898679v1
Escherichia coli strain AVS0096 	NZ_CP076344.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/798/845/GCA_018798845.1_ASM1879884v1
Escherichia coli strain NT1N28 	NZ_CP075474.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/904/175/GCA_014904175.2_ASM1490417v2
Escherichia coli strain NT1W22 	NZ_CP075469.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/904/185/GCA_014904185.2_ASM1490418v2
Escherichia coli strain NT1F10 	NZ_CP075462.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/904/435/GCA_014904435.2_ASM1490443v2
Escherichia coli strain NT1N25 	NZ_CP075484.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/904/235/GCA_014904235.2_ASM1490423v2
Escherichia coli strain NT1F25 	NZ_CP075472.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/904/315/GCA_014904315.2_ASM1490431v2
Escherichia coli strain NT1N34 	NZ_CP075465.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/904/135/GCA_014904135.2_ASM1490413v2
Escherichia coli strain NT1N31 	NZ_CP075480.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/904/215/GCA_014904215.2_ASM1490421v2
Escherichia coli strain NT1W25 	NZ_CP075477.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/904/145/GCA_014904145.2_ASM1490414v2
Escherichia coli strain NT1F34 	NZ_CP075487.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/904/265/GCA_014904265.2_ASM1490426v2
Escherichia coli strain NT1F31 	NZ_CP045190.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/738/145/GCA_009738145.1_ASM973814v1
Escherichia coli strain AW1.7 	NZ_CP073624.1	None
Escherichia coli strain XH988 	NZ_CP019355.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/806/005/GCA_016806005.1_ASM1680600v1
Escherichia coli strain 2018-18.25PC 	NZ_AP023286.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/592/875/GCA_016592875.1_ASM1659287v1
Escherichia coli O55:H7 strain USDA5905 	NZ_CP039837.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/343/615/GCA_013343615.1_ASM1334361v1
Escherichia coli O55:H7 strain DEC5B 	NZ_CP038389.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/995/GCA_013167995.1_ASM1316799v1
Escherichia coli O55:H7 strain DEC5D 	NZ_CP038386.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/975/GCA_013167975.1_ASM1316797v1
Escherichia coli O55:H7 strain DEC5E 	NZ_CP038383.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/935/GCA_013167935.1_ASM1316793v1
Escherichia coli O55:H7 strain TB182A 	NZ_CP038295.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/255/GCA_013167255.1_ASM1316725v1
Escherichia coli O55:H7 strain DEC5A 	NZ_CP038394.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/168/015/GCA_013168015.1_ASM1316801v1
Escherichia coli isolate ECCNB12-2 	NZ_CP033635.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/790/525/GCA_003790525.1_ASM379052v1
Escherichia coli strain AW1.7 	CP073624.1	None
Escherichia coli O78 strain 3 	NZ_CP084096.1	None
Escherichia coli strain AH04 	NZ_CP081706.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/970/975/GCA_019970975.1_ASM1997097v1
Escherichia coli strain Ecol_745 	NZ_CP015074.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/618/345/GCA_001618345.2_ASM161834v2
Escherichia coli O78 strain 3 	CP084096.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/217/445/GCA_020217445.1_ASM2021744v1
Escherichia coli strain SYNB1934 	NZ_CP080246.1	None
Escherichia coli strain 035053C1pKPC2_Vir_090515B1 	NZ_CP084026.1	None
Escherichia coli strain SYNB1934 	CP080246.1	None
Escherichia coli strain 035053C1pKPC2_Vir_090515B1 	CP084026.1	None
Escherichia coli strain NDM6 	NZ_CP083869.1	None
Escherichia coli strain SUISSEKPC3NDM5 	NZ_CP083701.1	None
Escherichia coli strain NDM5 	NZ_CP083872.1	None
Escherichia coli strain NDM2 	NZ_CP083886.1	None
Escherichia coli strain NDM1 	NZ_CP083888.1	None
Escherichia coli strain NDM3 	NZ_CP083880.1	None
Escherichia coli strain NDM4 	NZ_CP083877.1	None
Escherichia coli strain CX16 	NZ_CP081748.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/105/355/GCA_020105355.1_ASM2010535v1
Escherichia coli strain CX11 	NZ_CP081729.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/105/395/GCA_020105395.1_ASM2010539v1
Escherichia coli strain CX19 	NZ_CP081755.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/105/335/GCA_020105335.1_ASM2010533v1
